dataset_id,train_ratio,input_dim,output_dim,num_epochs,batch_size,learning_rate,loss_function,embedding_type,negative_ratio,temperature,train_auc,valid_auc,test_auc,train_pr_auc,valid_pr_auc,test_pr_auc,train_f1,valid_f1,test_f1,train_k_precision,valid_k_precision,test_k_precision,train_mcc,valid_mcc,test_mcc,train_k_recall,valid_k_recall,test_k_recall
1,0.3,64,16,5,16,0.001,SNN,pca,100,0.1,0.5404,0.5491,0.4932,0.0267,0.0296,0.0255,0.0501,0.0502,0.0508,0.013,0.0333,0.033,0.0059,0.0048,0.0073,0.013,0.0333,0.033
1,0.5,64,16,5,64,0.005,SNN,pca,5,1.0,0.644,0.7983,0.7897,0.0858,0.1428,0.1528,0.05,0.0507,0.0507,0.1953,0.2615,0.2615,0.0046,0.0,0.0065,0.1953,0.2615,0.2615
1,0.3,64,16,5,32,0.0005,SNN,pca,50,10.0,0.85,0.8093,0.7862,0.1371,0.1502,0.1606,0.0501,0.0502,0.0507,0.2078,0.2,0.2637,0.0051,0.0073,0.0055,0.2078,0.2,0.2637
1,0.5,64,16,5,16,0.0005,SNN,pca,5,0.1,0.6316,0.6914,0.6797,0.036,0.0456,0.0424,0.05,0.0507,0.0508,0.0312,0.0462,0.0,0.0056,0.0057,0.008,0.0312,0.0462,0.0
1,0.8,64,16,50,32,0.001,SNN,pca,50,1.0,0.9494,0.9422,0.9487,0.4553,0.1582,0.2172,0.1322,0.0348,0.0501,0.4612,0.1889,0.13,0.0,0.0,0.0,0.4612,0.1889,0.13
1,0.3,64,16,5,16,0.0005,SNN,pca,10,0.1,0.5711,0.549,0.6633,0.0341,0.0292,0.0475,0.0501,0.0502,0.0508,0.0519,0.0556,0.044,0.0051,0.0073,0.0087,0.0519,0.0556,0.044
1,0.3,64,16,5,32,0.005,SNN,pca,5,0.1,0.747,0.7179,0.7421,0.0634,0.0524,0.0622,0.0501,0.0502,0.0508,0.1039,0.0889,0.044,0.0066,0.0073,0.0083,0.1039,0.0889,0.044
1,0.3,64,16,5,16,0.001,SNN,pca,100,1.0,0.7992,0.9198,0.9132,0.0997,0.2228,0.2418,0.0501,0.0503,0.0508,0.1429,0.2778,0.2967,0.0059,0.0078,0.0078,0.1429,0.2778,0.2967
1,0.3,64,16,5,32,0.005,SNN,pca,20,0.1,0.5098,0.5436,0.5046,0.0253,0.026,0.0246,0.0501,0.0502,0.0508,0.013,0.0222,0.011,0.0051,0.0073,0.0068,0.013,0.0222,0.011
1,0.3,64,16,5,64,0.0001,SNN,pca,5,0.1,0.5785,0.5937,0.5948,0.0319,0.0423,0.0332,0.0501,0.0502,0.0507,0.039,0.0444,0.022,0.0066,0.0067,0.0039,0.039,0.0444,0.022
1,0.3,64,16,5,16,0.0001,SNN,pca,20,10.0,0.8569,0.8824,0.9055,0.1374,0.2464,0.3491,0.0502,0.0502,0.0507,0.2208,0.3778,0.4396,0.0073,0.0039,0.0062,0.2208,0.3778,0.4396
1,0.5,64,16,5,16,0.001,SNN,pca,5,1.0,0.8983,0.831,0.8742,0.2525,0.199,0.3479,0.05,0.0507,0.0507,0.3516,0.2923,0.4,0.0065,0.0033,0.0057,0.3516,0.2923,0.4
1,0.5,64,16,5,16,0.005,SNN,pca,50,10.0,0.9085,0.9408,0.9276,0.1697,0.2275,0.1848,0.05,0.0507,0.0507,0.1562,0.2769,0.1846,0.0051,0.0033,0.0065,0.1562,0.2769,0.1846
1,0.3,64,16,5,64,0.0001,SNN,pca,5,1.0,0.6436,0.6958,0.7099,0.0633,0.068,0.0683,0.0501,0.0503,0.0508,0.0779,0.1222,0.1209,0.003,0.0082,0.0083,0.0779,0.1222,0.1209
1,0.3,64,16,5,64,0.001,SNN,pca,5,0.1,0.4705,0.4988,0.5592,0.0219,0.0242,0.0287,0.0501,0.0503,0.0508,0.013,0.0,0.033,0.0066,0.0078,0.0078,0.013,0.0,0.033
1,0.5,64,16,5,16,0.005,SNN,pca,5,0.1,0.6037,0.5521,0.5325,0.0385,0.0293,0.0282,0.05,0.0508,0.0507,0.0312,0.0308,0.0308,0.0056,0.0073,0.0046,0.0312,0.0308,0.0308
1,0.5,64,16,5,16,0.005,SNN,pca,20,10.0,0.7506,0.8055,0.845,0.062,0.0718,0.1015,0.05,0.0507,0.0508,0.0625,0.0154,0.0769,0.0032,0.0033,0.0093,0.0625,0.0154,0.0769
